,city,country,population,year
6626,Chicago,United States,2718782.0,2013
8939,Casablanca,Morocco,2713169.0,1994
6625,Chicago,United States,2695598.0,2010
954,Roma,Italy,2693383.0,1991
5635,Taichung,Taiwan,2684893.0,2012
4911,Al Jizah,Egypt,2681863.0,2006
5538,Quezon City,Philippines,2679450.0,2007
7848,Salvador,Brazil,2674923.0,2010
5590,Taipei,Taiwan,2673226.0,2012
5284,Osaka,Japan,2665314.0,2010
4379,Bangalore,India,2660088.0,1991
4979,Bandung,Indonesia,2656636.0,2000
4605,Hanoi,Vietnam,2644536.0,2009
9176,Johannesburg,South Africa,2639110.0,1996
5393,Incheon,South Korea,2637652.0,2010
3620,Huai'an,China,2635406.0,2010
5589,Taipei,Taiwan,2632242.0,2006
5283,Osaka,Japan,2628811.0,2005
3441,Lanzhou,China,2628426.0,2010
5588,Taipei,Taiwan,2627138.0,2003
5587,Taipei,Taiwan,2626138.0,1996
956,Roma,Italy,2617175.0,2011
1472,Kyïv,Ukraine,2616000.0,1990
6142,Toronto,Canada,2615060.0,2011
1473,Kyïv,Ukraine,2611327.0,2001
3587,Nanjing,China,2610594.0,1990
3592,Wuxi,China,2606839.0,2000
5012,Surabaya,Indonesia,2599796.0,2000
5282,Osaka,Japan,2598774.0,2000
1471,Kyïv,Ukraine,2595000.0,1989
3619,Huai'an,China,2593915.0,2000
3771,Hangzhou,China,2589504.0,1990
3531,Zhengzhou,China,2589387.0,2000
5634,Taichung,Taiwan,2587828.0,2006
2567,Ankara,Turkey,2583963.0,1990
4281,Chittagong,Bangladesh,2579107.0,2008
9004,Luanda,Angola,2571600.0,2000
9201,Cape Town,South Africa,2563612.0,1996
3739,Taiyuan,China,2558382.0,2000
4473,Kanpur,India,2551337.0,2001
5285,Osaka,Japan,2543137.0,2012
4409,Pune,India,2540069.0,2001
5392,Incheon,South Korea,2531280.0,2005
4327,Yangon,Myanmar,2513023.0,1983
6141,Toronto,Canada,2503281.0,2006
3601,Changzhou,China,2502049.0,2000
3588,Nanjing,China,2500000.0,1991
5633,Taichung,Taiwan,2499527.0,2003
5281,Osaka,Japan,2492000.0,1995
9327,Dar es Salaam,Tanzania,2487288.0,2002
3698,Zibo,China,2484206.0,1990
5011,Surabaya,Indonesia,2483871.0,1990
8635,Brasília,Brazil,2482210.0,2010
6140,Toronto,Canada,2481494.0,2001
5387,Daegu,South Korea,2480578.0,2000
9184,Ekurhuleni - Germiston,South Africa,2478631.0,2001
5391,Incheon,South Korea,2475139.0,2000
5388,Daegu,South Korea,2464547.0,2005
3699,Zibo,China,2460000.0,1991
955,Roma,Italy,2459776.0,2001
7893,Fortaleza,Brazil,2452185.0,2010
5386,Daegu,South Korea,2449139.0,1995
5389,Daegu,South Korea,2444085.0,2010
7847,Salvador,Brazil,2442102.0,2000
7465,Medellín,Colombia,2441123.0,2014
3406,Kabul,Afghanistan,2435400.0,2004
4363,Surat,India,2433835.0,2001
3941,Mashhad,Iran,2427316.0,2006
3776,Ningbo,China,2422126.0,2000
5578,Singapore,Singapore,2413945.0,1980
4407,Nagpur,India,2405665.0,2011
3694,Jinan,China,2403946.0,1990
3661,Dalian,China,2400000.0,1991
4980,Bandung,Indonesia,2394873.0,2010
7997,Belo Horizonte,Brazil,2375151.0,2010
